hcpcs,service,mue_value,mai,rationale,effective_date,source
24110,practitioner,1,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24115,practitioner,1,3,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24116,practitioner,1,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24120,practitioner,1,3,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24125,practitioner,1,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24126,practitioner,1,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24130,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24134,practitioner,1,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24136,practitioner,1,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24138,practitioner,1,3,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24140,practitioner,1,3,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24145,practitioner,1,3,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24147,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24149,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24150,practitioner,1,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24152,practitioner,1,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24155,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24160,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24164,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24200,practitioner,3,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24201,practitioner,3,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24220,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24300,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24301,practitioner,2,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24305,practitioner,4,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24310,practitioner,2,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24320,practitioner,2,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24330,practitioner,1,3,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24331,practitioner,1,3,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24332,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24340,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24341,practitioner,2,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24342,practitioner,2,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24343,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24344,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24345,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24346,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24357,practitioner,1,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24358,practitioner,1,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24359,practitioner,2,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24360,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24361,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24362,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24363,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24365,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24366,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24370,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24371,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24400,practitioner,1,3,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24410,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24420,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24430,practitioner,1,3,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24435,practitioner,1,3,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24470,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24495,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24498,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24500,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24505,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24515,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24516,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24530,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24535,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24538,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24545,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24546,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24560,practitioner,1,3,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24565,practitioner,1,3,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24566,practitioner,1,3,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24575,practitioner,1,3,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24576,practitioner,1,3,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24577,practitioner,1,3,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24579,practitioner,1,3,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24582,practitioner,1,3,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24586,practitioner,1,3,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24587,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24600,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24605,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24615,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24620,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24635,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24640,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24650,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24655,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24665,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24666,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24670,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24675,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24685,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24800,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24802,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24900,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24920,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24925,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24930,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24931,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24935,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24940,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
24999,practitioner,1,3,Clinical: CMS Workgroup,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25000,practitioner,2,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25001,practitioner,1,3,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25020,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25023,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25024,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25025,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25028,practitioner,4,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25031,practitioner,2,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25035,practitioner,2,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25040,practitioner,1,3,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25065,practitioner,2,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25066,practitioner,2,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25071,practitioner,3,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25073,practitioner,2,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25075,practitioner,6,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25076,practitioner,3,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25077,practitioner,1,3,Anatomic Consideration,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25078,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25085,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25100,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25101,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25105,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25107,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25109,practitioner,4,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25110,practitioner,2,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25111,practitioner,1,3,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25112,practitioner,1,3,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25115,practitioner,1,3,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25116,practitioner,1,3,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25118,practitioner,5,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25119,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25120,practitioner,1,3,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25125,practitioner,1,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25126,practitioner,1,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25130,practitioner,1,3,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25135,practitioner,1,3,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25136,practitioner,1,3,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25145,practitioner,1,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25150,practitioner,1,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25151,practitioner,1,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25170,practitioner,1,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25210,practitioner,2,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25215,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25230,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25240,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25246,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25248,practitioner,3,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25250,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25251,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25259,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25260,practitioner,9,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25263,practitioner,4,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25265,practitioner,4,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25270,practitioner,8,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25272,practitioner,4,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25274,practitioner,4,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25275,practitioner,2,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25280,practitioner,9,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25290,practitioner,10,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25295,practitioner,9,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25300,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25301,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25310,practitioner,5,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25312,practitioner,4,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25315,practitioner,1,3,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25316,practitioner,1,3,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25320,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25332,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25335,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25337,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25350,practitioner,1,3,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25355,practitioner,1,3,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25360,practitioner,1,3,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25365,practitioner,1,3,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25370,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25375,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25390,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25391,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25392,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25393,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25394,practitioner,1,3,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25400,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25405,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25415,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25420,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25425,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25426,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25430,practitioner,1,3,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25431,practitioner,1,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25440,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25441,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25442,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25443,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25444,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25445,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25446,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25447,practitioner,4,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25448,practitioner,4,3,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25449,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25450,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25455,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25490,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25491,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25492,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25500,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25505,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25515,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25520,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25525,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25526,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25530,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25535,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25545,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25560,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25565,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25574,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25575,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25600,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25605,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25606,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25607,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25608,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25609,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25622,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25624,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25628,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25630,practitioner,1,3,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25635,practitioner,1,3,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25645,practitioner,1,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25650,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25651,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25652,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25660,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25670,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25671,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25675,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25676,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25680,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25685,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25690,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25695,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25800,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25805,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25810,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25820,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25825,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25830,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25900,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25905,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25907,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25909,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25915,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25920,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25922,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25924,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25927,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25929,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25931,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
25999,practitioner,1,3,Clinical: CMS Workgroup,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
26010,practitioner,2,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
26011,practitioner,3,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
26020,practitioner,4,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
26025,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
26030,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
26034,practitioner,2,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
26035,practitioner,1,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
26037,practitioner,1,3,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
26040,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
26045,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
26055,practitioner,5,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
26060,practitioner,5,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
26070,practitioner,2,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
26075,practitioner,3,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
26080,practitioner,3,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
26100,practitioner,1,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
26105,practitioner,2,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
26110,practitioner,2,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
26111,practitioner,4,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
26113,practitioner,3,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
