col1,col2,modifier_indicator,service,effective_date,source
0486U,81314,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0486U,81317,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0486U,81318,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0486U,81319,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0486U,81321,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0486U,81322,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0486U,81323,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0486U,81327,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0486U,81345,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0486U,81400,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0486U,81401,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0486U,81402,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0486U,81403,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0486U,81404,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0486U,81405,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0486U,81406,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0486U,81407,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0486U,81408,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0486U,81457,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0486U,81458,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0486U,81462,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0486U,81463,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0486U,88271,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0486U,88272,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0486U,88273,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0486U,88274,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0486U,88275,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0486U,88291,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0486U,88365,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0486U,88366,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0486U,88367,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0486U,88368,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0486U,88374,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0486U,88377,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0486U,96523,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0486U,G0327,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0486U,G0452,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0486U,G0463,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,0048U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,0174U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,0229U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,0250U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,0317U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,0338U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,0409U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,36591,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,36592,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,80503,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,80504,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,80505,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81120,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81121,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81162,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81163,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81164,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81165,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81166,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81167,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81201,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81202,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81203,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81209,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81210,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81212,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81215,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81216,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81217,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81235,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81272,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81273,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81275,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81276,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81287,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81288,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81292,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81293,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81294,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81295,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81296,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81297,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81298,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81299,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81300,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81301,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81307,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81308,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81309,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81311,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81313,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81314,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81317,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81318,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81319,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81321,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81322,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81323,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81327,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81345,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81400,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81401,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81402,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81403,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81404,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81405,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81406,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81407,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81408,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81427,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81455,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81456,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81457,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81458,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81462,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,81463,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,88271,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,88272,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,88273,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,88274,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,88275,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,88291,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,88365,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,88366,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,88367,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,88368,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,88374,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,88377,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,96523,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,G0327,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,G0452,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0487U,G0463,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0488U,0001U,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0488U,0084U,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0488U,0246U,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0488U,36591,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0488U,36592,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0488U,80055,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0488U,80081,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0488U,80503,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0488U,80504,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0488U,80505,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0488U,81510,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0488U,86901,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0488U,86906,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0488U,88271,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0488U,88272,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0488U,88273,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0488U,88274,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0488U,88275,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0488U,88291,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0488U,88365,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0488U,88366,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0488U,88367,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0488U,88368,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0488U,88374,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0488U,88377,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0488U,96523,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0488U,G0452,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0488U,G0463,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0489U,36591,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0489U,36592,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0489U,80503,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0489U,80504,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0489U,80505,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0489U,81220,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0489U,81221,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0489U,81222,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0489U,81223,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0489U,81224,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0489U,81228,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0489U,81257,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0489U,81258,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0489U,81259,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0489U,81269,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0489U,81350,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0489U,81361,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0489U,81362,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0489U,81363,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0489U,81364,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0489U,84311,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0489U,88271,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0489U,88272,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0489U,88273,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0489U,88274,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0489U,88275,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0489U,88291,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0489U,88365,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0489U,88366,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0489U,88367,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0489U,96523,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0489U,G0452,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0490U,0387U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0490U,36591,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0490U,36592,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0490U,80503,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0490U,80504,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0490U,80505,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0490U,81400,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0490U,81401,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0490U,81402,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0490U,81403,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0490U,81404,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0490U,81405,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0490U,81406,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0490U,81407,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0490U,81408,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0490U,81445,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0490U,81449,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0490U,84311,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0490U,88367,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0490U,96523,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0490U,G0463,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,0174U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,0229U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,0317U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,0338U,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,36591,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,36592,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,80503,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,80504,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,80505,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81120,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81121,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81162,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81163,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81164,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81165,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81166,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81167,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81201,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81202,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81203,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81209,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81210,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81212,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81215,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81216,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81217,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81235,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81272,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81273,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81275,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81276,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81287,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81288,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81292,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81293,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81294,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81295,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81296,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81297,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81298,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81299,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81300,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81301,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81307,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81308,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81309,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81311,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81313,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81314,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81317,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81318,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81319,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81321,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81322,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81323,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81327,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81345,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81400,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81401,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81402,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81403,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81404,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81405,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81406,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81407,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81408,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81457,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81458,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81462,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,81463,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,96523,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,G0327,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0491U,G0452,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
