ccn,provider_name,address,city,state,zip,county,ownership,certification_date,source,source_date
10T038,MEMORIAL REHABILITATION INSTITUTE,3600 WASHINGTON STREET -,HOLLYWOOD,FL,33021,Broward,Government,05/01/2023,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T057,ADVENTHEALTH WATERMAN,1000 WATERMAN WAY -,TAVARES,FL,32778,Lake,Non-profit,01/01/2026,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T068,ADVENTHEALTH DAYTONA BEACH,301 MEMORIAL MEDICAL PKWY -,DAYTONA BEACH,FL,32117,Volusia,Non-profit,01/01/2026,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T073,HOLY CROSS HOSPITAL,4725 NORTH FEDERAL HIGHWAY -,FORT LAUDERDALE,FL,33308,Broward,Non-profit,07/01/2023,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T080,HCA FLORIDA JFK HOSPITAL,5301 S CONGRESS AVE -,ATLANTIS,FL,33462,Palm Beach,For profit,07/01/2023,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T086,BROWARD HEALTH NORTH-INPATIENT REHABILITATION UNIT,201 EAST SAMPLE ROAD -,DEERFIELD BEACH,FL,33064,Broward,Government,07/01/2024,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T087,SARASOTA MEMORIAL HOSPITAL,1700 SOUTH TAMIAMI TRAIL -,SARASOTA,FL,34239,Sarasota,Government,10/01/2025,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T110,OSCEOLA RGNL PHYSICAL REHAB,700 W OAK ST -,KISSIMMEE,FL,34741,Osceola,For profit,01/01/2022,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T125,HOMESTEAD HOSPITAL,975 BAPTIST WAY -,HOMESTEAD,FL,33033,Miami-Dade,Non-profit,10/01/2025,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T126,PALMS OF PASADENA HOSPITAL,1501 PASADENA AVE S -,ST PETERSBURG,FL,33707,Pinellas,For profit,10/01/2025,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T131,HCA FLORIDA AVENTURA HOSPITAL,20900 BISCAYNE BLVD -,AVENTURA,FL,33180,Miami-Dade,Non-profit,01/01/2023,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T157,LAKELAND REGIONAL HEALTH,1324 LAKELAND HILLS BLVD -,LAKELAND,FL,33805,Polk,Non-profit,10/01/2025,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T161,CENTRAL FLORIDA REGIONAL HOSPITAL,1401 W SEMINOLE BLVD -,SANFORD,FL,32771,Seminole,For profit,06/01/2025,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T167,PLANTATION GENERAL HOSPITAL,401 NW 42ND AVE -,PLANTATION,FL,33317,Broward,Non-profit,09/01/2021,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T173,FLORIDA HOSPITAL TAMPA,3100 EAST FLETCHER AVENUE -,TAMPA,FL,33613,Hillsborough,Non-profit,01/01/2025,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T212,HCA FLORIDA OCALA HOSPITAL,1431 SW 1ST AVE -,OCALA,FL,34471,Marion,For profit,09/01/2025,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T213,BLAKE MEDICAL CENTER,2020 59TH ST W -,BRADENTON,FL,34209,Manatee,For profit,05/01/2021,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T223,FORT WALTON BEACH MEDICAL CENTER,1000 MAR WALT DRIVE -,FORT WALTON BEACH,FL,32547,Okaloosa,For profit,06/01/2025,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T224,HCA FLORIDA WOODMONT HOSPITAL,7201 N UNIVERSITY DR -,TAMARAC,FL,33321,Broward,For profit,05/01/2022,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T226,HCA FL ORANGE PARK HOSPITAL REHABILITATION CENTER,1883 KINGSLEY AVE -,ORANGE PARK,FL,32073,Clay,Non-profit,01/01/2022,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T231,FLORIDA WEST REHABILITATION CENTER,8391 NORTH DAVIS HIGHWAY -,PENSACOLA,FL,32514,Escambia,For profit,06/01/2022,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T236,FAWCETT MEMORIAL HOSPITAL,21298 OLEAN BOULEVARD -,PORT CHARLOTTE,FL,33949,Charlotte,For profit,01/01/2026,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T242,HCA FLORIDA GULF COAST HOSPITAL,449 W 23RD ST -,PANAMA CITY,FL,32405,Bay,For profit,02/01/2023,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T243,HCA FLORIDA BRANDON HOSPITAL,119 OAKFIELD DR -,BRANDON,FL,33511,Hillsborough,For profit,12/21/2022,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T246,LAWNWOOD PHYSICAL REHAB CENTER,1860 N. LAWNWOOD CIR. -,FORT PIERCE,FL,34950,St. Lucie,For profit,10/01/2023,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T248,LARGO MEDICAL CENTER,2025 INDIAN ROCKS ROAD -,LARGO,FL,33774,Pinellas,For profit,03/01/2023,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T254,HCA FLORIDA CAPITAL HOSPITAL,2626 CAPITAL MEDICAL BLVD -,TALLAHASSEE,FL,32308,Leon,For profit,05/01/2025,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T256,HCA FLORIDA BAYONET POINT HOSPITAL,14000 FIVAY RD -,HUDSON,FL,34667,Pasco,For profit,03/01/2023,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T258,DELRAY MEDICAL CENTER,5352 LINTON BLVD -,DELRAY BEACH,FL,33484,Palm Beach,For profit,01/01/2024,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T286,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,6101 PINE RIDGE ROAD -,NAPLES,FL,34119,Collier,For profit,10/01/2026,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T288,ST MARY'S WEST PALM BEACH,ST. MARY'S MEDICAL CENTER 901 45TH STREET,WEST PALM BEACH,FL,33407,Miami-Dade,For profit,06/01/2025,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T290,TVRH REHABILITATION HOSPITAL,1451 EL CAMINO REAL -,THE VILLAGES,FL,32159,Sumter,Non-profit,07/01/2025,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T307,ASCENSION ST VINCENT'S SOUTHSIDE,4201 BELFORT RD -,JACKSONVILLE,FL,32216,Duval,Non-profit,07/01/2025,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10TA09,KINDRED HOSPITAL-BAY AREA-TAMPA,4555 S MANHATTAN AVE -,TAMPA,FL,33611,Hillsborough,For profit,09/01/2023,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10TA10,KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE,1516 E LAS OLAS BLVD -,FORT LAUDERDALE,FL,33301,Broward,For profit,09/01/2023,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10TA15,KINDRED HOSPITAL-NORTH FLORIDA,801 OAK ST -,GREEN COVE SPRINGS,FL,32043,Clay,For profit,09/01/2023,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10TA20,SELECT SPECIALTY HOSPITAL - TALLAHASSEE,1554 SURGEONS DR -,TALLAHASSEE,FL,32308,Leon,For profit,03/01/2025,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10TA24,SELECT SPECIALTY HOSPITAL PENSACOLA,7000 COBBLE CREEK DR -,PENSACOLA,FL,32504,Escambia,For profit,04/01/2023,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10TA25,KINDRED HOSPITAL THE PALM BEACHES,5555 W BLUE HERON BLVD -,RIVIERA BEACH,FL,33418,Palm Beach,For profit,09/01/2023,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10TA27,KINDRED HOSPITAL MELBOURNE,765 W NASA BLVD -,MELBOURNE,FL,32901,Brevard,For profit,09/01/2023,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
113028,WELLSTAR ROOSEVELT REHAB CARE AT WARM SPRINGS,"6135 ROOSEVELT HIGHWAY, P O BOX 280 -",WARM SPRINGS,GA,31830,Meriwether,Government,07/01/2006,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
113029,ATRIUM HEALTH NAVICENT REHABILITATION HOSPITAL,3351 NORTHSIDE DRIVE -,MACON,GA,31210,Bibb,For profit,06/11/2007,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
113030,REHABILIATION HOSPITAL OF AUGUSTA,1355 INDEPENDENCE DRIVE -,AUGUSTA,GA,30901,Richmond,For profit,04/26/2013,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
113031,EMORY REHABILITATION HOSPITAL,1441 CLIFTON ROAD NE -,ATLANTA,GA,30322,DeKalb,For profit,07/29/2014,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
113032,REHABILITATION HOSPITAL OF NEWNAN,2101 EAST NEWNAN CROSSING BLVD -,NEWNAN,GA,30265,Coweta,For profit,12/22/2014,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
113033,ENCOMPASS HEALTH REHAB HOSPITAL OF SAVANNAH,6510 SEAWRIGHT DRIVE -,SAVANNAH,GA,31404,Chatham,For profit,04/23/2015,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
113034,ENCOMPASS HEALTH REHABILITATION HOSPITAL CUMMING,1165 SANDERS ROAD -,CUMMING,GA,30041,Forsyth,For profit,06/29/2021,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
113035,REHABILITATION HOSPITAL OF HENRY,2200 PATRICK HENRY PARKWAY -,MCDONOUGH,GA,30253,Henry,For profit,11/17/2021,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
113036,REHABILITATION HOSPITAL OF COLUMBUS,8321 VETERANS PARKWAY -,COLUMBUS,GA,31909,Muscogee,For profit,09/15/2023,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
113037,REHABILITATION HOSPITAL OF ATLANTA,"1968 PEACHTREE RD NW, BUILDING 2, 6TH FLOOR -",ATLANTA,GA,30309,Fulton,For profit,06/28/2024,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
113038,REHABILITATION HOSPITAL OF ATHENS,1083 PARKWAY BLVD -,ATHENS,GA,30606,Clarke,For profit,04/09/2025,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
113039,"NORTHEAST GEORGIA REHABILITATION INSTITUE, LLC",2500 LIMESTONE PARKWAY -,GAINESVILLE,GA,30501,Hall,For profit,07/02/2025,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
11T003,MEMORIAL SATILLA HOSPITAL,2500 SATILLA PARKWAY -,WAYCROSS,GA,31503,Ware,Non-profit,01/01/2017,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
11T006,REHAB MEDICINE ST. MARYS ATHENS,1230 BAXTER STREET -,ATHENS,GA,30606,Clarke,Non-profit,01/01/2004,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
11T007,PHOEBE PUTNEY MEMORIAL HOSPITAL,2000 PALMYRA RD -,ALBANY,GA,31701,Dougherty,Government,10/01/1999,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
11T010,EMORY UNIVERSITY HOSPITAL,1364 CLIFTON ROAD NE -,ATLANTA,GA,30322,DeKalb,Non-profit,09/01/1984,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
11T024,THE REHAB CENTER AT CANDLER,5353 REYNOLDS ST. 5 SOUTH - REHAB UNIT,SAVANNAH,GA,31405,Chatham,Non-profit,07/01/1998,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
11T032,STEPHENS COUNTY HOSPITAL,163 HOSPITAL DRIVE -,TOCCOA,GA,30577,Stephens,Government,10/01/2021,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
11T035,WELLSTAR KENNESTONE INPATIENT REHAB,677 CHURCH STREET -,MARIETTA,GA,30060,Cobb,Government,07/01/1993,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
11T038,JOHN D. ARCHBOLD MEMORIAL HOSPITAL,GORDON AVE. @ MIMOSA DRIVE P.O. BOX 1018,THOMASVILLE,GA,31792,Thomas,Non-profit,10/01/1994,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
11T054,FLOYD MEDICAL CENTER,304 TURNER MCCALL BLVD -,ROME,GA,30162,Floyd,Government,02/05/2007,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
11T076,EMORY DECATUR HOSPITAL,2701 NORTH DECATUR ROAD -,DECATUR,GA,30033,DeKalb,Non-profit,07/01/1997,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
11T079,GRADY MEMORIAL HOSPITAL,"80 JESSE HILL, JR DRIVE SE -",ATLANTA,GA,30303,Fulton,Non-profit,05/15/2024,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
11T087,GLANCY REHABILITATION CENTER,3215 MCCLURE BRIDGE ROAD -,DULUTH,GA,30096,Gwinnett,Government,07/01/1995,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
11T122,SOUTH GEORGIA MEDICAL CENTER,2501 N PATTERSON ST -,VALDOSTA,GA,31603,Lowndes,Government,10/01/1991,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
11T125,FAIRVIEW PARK HOSPITAL,200 INDUSTRIAL BLVD -,DUBLIN,GA,31040,Laurens,For profit,05/01/1995,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
11T143,WELLSTAR COBB HOSPITAL,3950 AUSTELL ROAD 3950 AUSTELL RD,AUSTELL,GA,30106,Cobb,Non-profit,07/01/1997,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
11T164,PIEDMONT MACON REHABILITATION CENTER,350 HOSPITAL DRIVE -,MACON,GA,31217,Bibb,Non-profit,04/01/1994,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
11T165,SOUTHERN REGIONAL MEDICAL CTR,11 UPPER RIVERDALE RD -,RIVERDALE,GA,30274,Clayton,Non-profit,07/01/2005,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
11T168,REDMOND REGIONAL MEDICAL CENTER,501 REDMOND ROAD -,ROME,GA,30165,Floyd,For profit,07/01/2003,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
11T177,DOCTORS HOSPITAL,3651 WHEELER ROAD -,AUGUSTA,GA,30909,Richmond,For profit,09/01/1984,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
11T192,PIEDMONT EASTSIDE MEDICAL CENTER,2160 FOUNTAIN DRIVE -,SNELLVILLE,GA,30078,Gwinnett,For profit,09/01/2005,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
11T198,WELLSTAR N FULTON HOSPITAL,3000 HOSPITAL BLVD. -,ROSWELL,GA,30076,Fulton,For profit,11/01/1985,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
11T252,NORTHSIDE HOSPITAL DULUTH,3620 HOWELL FERRY ROAD -,DULUTH,GA,30096,Gwinnett,Non-profit,07/01/2021,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
123025,REHABILITATION HOSPITAL OF THE PACIFIC,226 N KUAKINI STREET -,HONOLULU,HI,96817,Honolulu,Non-profit,10/01/1984,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
133027,REHABILITATION HOSPITAL OF THE NORTHWEST,3372 E JENALAN AVE -,POST FALLS,ID,83854,Kootenai,For profit,01/31/2014,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
133028,SAINT ALPHONSUS REGIONAL REHABILITATION HOSPITAL,711 NORTH CURTIS ROAD -,BOISE,ID,83706,Ada,For profit,08/10/2019,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
13T002,ST. LUKE'S MAGIC VALLEY REGIONAL MEDICAL CENTER,P.O BOX 409 775 POLE LINE ROAD WEST SUITE,TWIN FALLS,ID,83301,Twin Falls,Non-profit,10/01/2007,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
13T003,ST JOSEPH REGIONAL MEDICAL CENTER,415 SIXTH STREET -,LEWISTON,ID,83501,Nez Perce,Non-profit,02/09/2024,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
13T006,ST. LUKE'S REHABILITATION HOSPITAL,600 N ROBBINS ROAD -,BOISE,ID,83701,Ada,Non-profit,10/01/2014,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
13T018,EASTERN IDAHO REGIONAL MEDICAL CENTER,3100 CHANNING WAY P.O. BOX 2077,IDAHO FALLS,ID,83403,Bonneville,For profit,01/01/1990,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
13T028,PORTNEUF MEDICAL CENTER,777 HOSPITAL WAY -,POCATELLO,ID,83201,Bannock,For profit,05/10/2011,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
143025,SCHWAB REHABILITATION HOSPITAL,1401 S CALIFORNIA AVENUE -,CHICAGO,IL,60608,Cook,Non-profit,07/01/1984,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
143026,SHIRLEY RYAN ABILITYLAB,355 E ERIE ST -,CHICAGO,IL,60611,Cook,Non-profit,09/01/1984,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
143027,MARIANJOY REHABILITATION CENTER,26W171 ROOSEVELT ROAD -,WHEATON,IL,60187,DuPage,Non-profit,07/01/1985,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
143028,VAN MATRE ENCOMPASS HEALTH REHABILITATION INSTITUT,950 S MULFORD RD -,ROCKFORD,IL,61108,WINNEBAGO,For profit,04/11/2002,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
143029,ANDERSON REHABILITATION INSTITUTE,3402 ANDERSON HEALTHCARE DR -,EDWARDSVILLE,IL,62025,Madison,For profit,08/22/2021,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
143030,THE REHABILITATION INSTITUTE OF SOUTHERN ILLINOIS,2351 FRANK SCOTT PARKWAY EAST -,SHILOH,IL,62269,St. Clair,For profit,03/08/2022,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
143031,ENCOMPASS HEALTH REHAB INSTITUTE OF LIBERTYVILLE,1201 AMERICAN WAY -,LIBERTYVILLE,IL,60048,Lake,For profit,04/13/2022,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
143032,THE QUAD CITIES REHABILITATION INSTITUTE,653 52ND AVE -,MOLINE,IL,61265,Rock Island,For profit,09/07/2022,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
14T007,AMITA SAINT JOSEPH MED CTR-JOLIET,333 N. MADISON -,JOLIET,IL,60435,Will,Non-profit,09/01/1987,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
14T008,GOTTLIEB MEMORIAL HOSPITAL,701 W NORTH AVE -,MELROSE PARK,IL,60160,Cook,Non-profit,07/01/2016,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
14T011,HERRIN HOSPITAL,HERRIN HOSPITAL -,HERRIN,IL,62948,Williamson,Non-profit,04/01/2000,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
14T013,CARLE HEALTH PROCTOR HOSPITAL,5409 N KNOXVILLE AVE -,PEORIA,IL,61614,Peoria,Non-profit,01/01/2024,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
14T015,BLESSING HOSPITAL,BROADWAY @ 11TH -,QUINCY,IL,62305,Adams,Non-profit,10/01/1985,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
14T029,RUSH-COPLEY MEDICAL CENTER,2000 WEST OGDEN AVE. -,AURORA,IL,60506,Kane,Non-profit,06/28/1999,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
14T046,SSM HEALTH GOOD SAMARITAN HOSP,1 GOOD SAMARITAN WAY -,MOUNT VERNON,IL,62864,Jefferson,Non-profit,01/01/1990,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
14T054,MACNEAL HOSPITAL,3249 S. OAK PARK AVE -,BERWYN,IL,60402,Cook,For profit,10/01/2015,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
14T065,ADVENTIST LA GRANGE MEMORIAL HOSPITAL,5101 WILLOW SPRINGS RD -,LA GRANGE,IL,60525,Cook,Non-profit,01/01/2015,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
14T082,LOUIS A. WEISS MEMORIAL HOSPITAL,4646 N. MARINE DRIVE -,CHICAGO,IL,60640,Cook,For profit,07/01/1993,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
14T091,CARLE FOUNDATION HOSPITAL,611 W. PARK -,URBANA,IL,61801,Champaign,Non-profit,07/01/1991,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
14T113,OSF HEART OF MARY MEDICAL CTR,1400 WEST PARK ST. -,URBANA,IL,61801,Champaign,Non-profit,10/01/1983,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
14T114,SWEDISH COVENANT HOSPITAL,SWEDISH COVENANT HOSPITAL -,CHICAGO,IL,60625,Cook,Non-profit,04/01/1984,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
14T116,CENTEGRA HOSPITAL - MCHENRY,4201 MEDICAL CENTER DRIVE -,MCHENRY,IL,60050,McHenry,Non-profit,07/01/2004,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
14T117,AMITA HEALTH RESURRECTION MEDICAL CENTER CHICAGO,7435 W TALCOTT AVE -,CHICAGO,IL,60631,Cook,Non-profit,07/01/1991,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
14T127,BROMENN REGIONAL MEDICAL CENTER,BROMENN REGIONAL MEDICAL CENTE -,BLOOMINGTON,IL,61702,McLean,Non-profit,07/01/1993,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
14T135,DECATUR MEMORIAL HOSPITAL,2300 NORTH EDWARD STREET -,DECATUR,IL,62526,Macon,Non-profit,10/01/1989,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
14T148,MEMORIAL MEDICAL CENTER,701 N 1ST ST -,SPRINGFIELD,IL,62781,Sangamon,Non-profit,10/01/1983,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
14T150,UNIVERSITY OF ILLINOIS MEDICAL CENTER AT CHICAGO,1740 W. TAYLOR ST. M/C 889 -,CHICAGO,IL,60612,Cook,Government,07/01/1988,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
14T158,MERCY HOSPITAL REHABILITATION UNIT,2525 SOUTH MICHIGAN AVE -,CHICAGO,IL,60616,Cook,Non-profit,07/01/1984,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
14T166,ST MARYS HOSPITAL,1800 E LAKE SHORE DR -,DECATUR,IL,62521,Macon,Non-profit,07/01/2008,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
14T172,ST. JAMES HOSPITAL,20201 S. CRAWFORD -,OLYMPIA FIELDS,IL,60461,Cook,Non-profit,07/01/1985,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
14T180,AMITA HEALTH SAINTS MARY AND ST ELIZABETH MED CTR,2233 WEST DIVISION STREET -,CHICAGO,IL,60622,Cook,Non-profit,01/01/1984,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
14T182,ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,836 W. WELLINGTON STREET -,CHICAGO,IL,60657,Cook,Non-profit,11/01/1983,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
14T186,RIVERSIDE MEDICAL CENTER,350 N WALL -,KANKAKEE,IL,60901,Kankakee,Non-profit,01/01/1985,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
14T191,INGALLS MEMORIAL HOSPITAL,ONE INGALLS DRIVE -,HARVEY,IL,60426,Cook,Physician,01/01/1990,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
14T208,ADVOCATE CHRIST MEDICAL CENTER,ADVOCATE CHRIST MEDICAL CENTER 4440 WEST 95TH STREET,OAK LAWN,IL,60453,Cook,Non-profit,01/01/1984,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
14T213,SILVER CROSS HOSPITAL,1900 SILVER CROSS BLVD. -,NEW LENOX,IL,60451,Will,Non-profit,10/01/2012,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
14T217,PRESENCE ST JOSEPH - ELGIN,77 N. AIRLITE STREET -,ELGIN,IL,60123,Kane,Non-profit,11/22/2000,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
14T223,ADVOCATE LUTHERAN GENERAL HOSPITAL,1775 WEST DEMPTER -,PARK RIDGE,IL,60068,Cook,Non-profit,06/30/1984,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
14T239,ROCKFORD MEMORIAL HOSPITAL,2400 NORTH ROCKTON AVENUE -,ROCKFORD,IL,61103,Winnebago,Non-profit,03/01/1984,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
14T252,NORTHWEST COMMUNITY HEALTHCARE,800 WEST CENTRAL ROAD -,ARLINGTON HEIGHTS,IL,60005,Cook,Non-profit,10/01/2015,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
