ccn,facility_name,address,city,state,zip,county,ownership,certification_date,source,source_date
181518,HOSPICE OF OHIO COUNTY,107 GILLESPIE STREET,HARTFORD,KY,42347,Ohio,Non-Profit,11/27/1989,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
181519,HOSPICE OF HOPE INC,909 KENTON STATION DRIVE,MAYSVILLE,KY,41056,Mason,Non-Profit,03/02/1990,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
181520,HOSPICE OF WESTERN KENTUCKY,3419 WATHENS CROSSING,OWENSBORO,KY,42301,Daviess,Non-Profit,04/25/1990,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
181521,VNA HEALTH AT HOME,711 MCDOWELL BOULEVARD,BARDSTOWN,KY,40004,Nelson,For-Profit,08/28/1990,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
181523,MURRAY CALLOWAY COUNTY HOSPITAL HOSPICE,1959 STATE ROUTE 94W,MURRAY,KY,42071,Calloway,Non-Profit,03/19/1991,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
181524,APPALACHIAN HOSPICE CARE,1414 SOUTH MAYO TRAIL,PIKEVILLE,KY,41501,Pike,For-Profit,04/25/1991,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
181525,PENNYROYAL HOSPICE,220 BURLEY AVENUE,HOPKINSVILLE,KY,42240,Christian,For-Profit,02/18/1992,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
181526,HOSPICE OF THE BLUEGRASS,"57 DENNIS SANDLIN, MD COVE",HAZARD,KY,41701,Perry,Non-Profit,06/19/1992,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
181527,HOSPARUS WESTERN KENTUCKY,200 CLINIC DRIVE,MADISONVILLE,KY,42431,Hopkins,Non-Profit,05/19/1993,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
181531,T J SAMSON COMMUNITY HOSPITAL HOME CARE HOSPICE,1301 NORTH RACE STREET,GLASGOW,KY,42142,Barren,For-Profit,12/10/2003,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191500,HOSPICE OF ACADIANA INC,"2600 JOHNSTON STREET, SUITE 200",LAFAYETTE,LA,70503,Lafayette,Non-Profit,02/07/1985,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191504,CHRISTUS HOSPICE SHREVEPORT-BOSSIER,425 ASHLEY RIDGE BLVD STE 330B,SHREVEPORT,LA,71106,Caddo,Other,02/03/1986,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191507,THE HOSPICE OF BATON ROUGE,3600 FLORIDA BLVD,BATON ROUGE,LA,70806,East Baton Rouge,Non-Profit,06/25/1986,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191510,"HOPE HEALTHCARE & HOSPICE BC, LLC","205 BAYOU GARDENS BOULEVARD, SUITE E",HOUMA,LA,70364,Terrebonne,For-Profit,07/13/1987,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191511,ST MARGARET'S HOME HEALTH AND HOSPICE,3525 BIENVILLE STREET,NEW ORLEANS,LA,70119,Orleans,Non-Profit,11/10/1987,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191512,NOTRE DAME HOSPICE,3330 NORTH CAUSEWAY BLVD. SUITE 101,METAIRIE,LA,70002,Jefferson,For-Profit,02/19/1988,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191515,HEART OF HOSPICE,1001 BAYOU PLACE,ALEXANDRIA,LA,71303,Rapides,For-Profit,03/31/1989,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191516,ST TAMMANY HOSPITAL HOSPICE,"101 ASLAND WAY, SUITE 2",MADISONVILLE,LA,70447,St. Tammany,Non-Profit,05/22/1989,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191517,WILLIS KNIGHTON HOSPICE OF LOUISIANA,616 E FLOURNOY LUCAS ROAD,SHREVEPORT,LA,71115,Caddo,Non-Profit,07/31/1989,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191519,CHRISTUS HOSPICE ST FRANCES CABRINI,6501 COLISEUM BLVD,ALEXANDRIA,LA,71303,Rapides,For-Profit,02/27/1991,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191522,NORTH OAKS HOSPICE,"15790 PAUL VEGA, MD DRIVE",HAMMOND,LA,70403,Tangipahoa,Non-Profit,07/21/1992,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191525,VITALCARING GROUP,41601  VETERANS AVE.,HAMMOND,LA,70403,Tangipahoa,For-Profit,05/03/1994,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191531,"ST JOSEPH HOSPICE OF CENLA, LLC","101 YORKTOWN DRIVE, STE B",ALEXANDRIA,LA,71303,Rapides,For-Profit,02/02/1995,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191533,AMEDISYS HOSPICE,425 ASHLEY  RIDGE BLVD SUITE 240,SHREVEPORT,LA,71106,Caddo,For-Profit,03/27/1995,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191534,AMEDISYS HOSPICE,4017 COMMON STREET,LAKE CHARLES,LA,70607,Calcasieu,For-Profit,05/23/1995,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191535,PASSAGES HOSPICE,"909 ELM STREET, STE B",MINDEN,LA,71055,Webster,Other,07/06/1995,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191539,BRIDGEWAY HEALTHCARE & HOSPICE,4333 AMERICAN WAY,BATON ROUGE,LA,70816,East Baton Rouge,Other,06/07/1996,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191541,PASSAGES HOSPICE,"1900 AUBURN AVE., STE F",MONROE,LA,71201,Ouachita,For-Profit,06/03/1996,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191542,LOUISIANA HOSPICE AND PALLIATIVE CARE,426 HEATHER DRIVE,OPELOUSAS,LA,70570,St. Landry,For-Profit,08/01/1996,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191547,"FAITH FOUNDATION HOSPICE, INC",3503 PARLIAMENT COURT,ALEXANDRIA,LA,71303,Rapides,For-Profit,09/19/1996,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191551,"HOPE HEALTHCARE AND HOSPICE, LLC","301 E KALISTE SALOOM RD, STE 201",LAFAYETTE,LA,70508,Lafayette,For-Profit,05/06/1999,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191553,HOSPICE COMPASSUS -MONROE,"2003 TOWER DRIVE, UNIT B",MONROE,LA,71201,Ouachita,For-Profit,06/17/1999,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191555,AUDUBON HOSPICE OF NEW ORLEANS,"3621 RIDGELAKE DR. SUITE 305,",METAIRIE,LA,70002,Jefferson,For-Profit,02/25/2000,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191558,MODERN HOSPICE,15781 PROFESSTIONAL PLAZA,HAMMOND,LA,70403,Tangipahoa,For-Profit,09/01/2000,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191560,"NOLA SJH II, LLC",507 UPSTREAM STREET,RIVER RIDGE,LA,70123,Jefferson,For-Profit,12/21/2000,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191561,"HOSPICE OF NATCHITOCHES, INC",336 2ND STREET,NATCHITOCHES,LA,71457,Natchitoches,For-Profit,01/09/2001,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191563,"SERENITY HOSPICE SERVICES, LLC",3445 NORTH CAUSEWAY BLVD,METAIRIE,LA,70002,Jefferson,For-Profit,09/28/2001,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191564,POINTE COUPEE HOSPICE,350 HOSPITAL ROAD,NEW ROADS,LA,70760,Pointe Coupee,Other,01/08/2002,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191565,LOUISIANA HOSPICE AND PALLIATIVE CARE,"1101 HUDSON LANE , SUITE D",MONROE,LA,71201,Ouachita,For-Profit,01/24/2002,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191568,"ST JOSEPH HOSPICE, LLC",10615 JEFFERSON HIGHWAY,BATON ROUGE,LA,70809,East Baton Rouge,For-Profit,09/19/2002,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191569,HOSPICE COMPASSUS - GREATER NEW ORLEANS,1301 WEST CAUSEWAY APPROACH,MANDEVILLE,LA,70471,St. Tammany,For-Profit,10/25/2002,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191570,GENTIVA,"17316 AIRLINE HWY, STE  P",PRAIRIEVILLE,LA,70769,Ascension,For-Profit,11/01/2002,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191571,ENHABIT HOSPICE OF VIDALIA,1653 CARTER STREET,VIDALIA,LA,71373,Concordia,For-Profit,12/31/2002,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191572,ST JOSEPH HOSPICE,108 W MAIN STREET STE C-1,THIBODAUX,LA,70301,Lafourche,For-Profit,01/30/2003,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191574,"LIFEPATH HOSPICE CARE SERVICES, LLC",8720 QUIMPER PLACE SUITE 100,SHREVEPORT,LA,71105,Caddo,Other,04/01/2003,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191575,GUARDIAN ANGEL HOSPICE,"825 LITTLE FARMS, AVE, STE D",METAIRIE,LA,70003,Jefferson,For-Profit,04/04/2003,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191576,HAYDEL MEMORIAL HOSPICE,"741 POINT ST,",HOUMA,LA,70360,Terrebonne,For-Profit,05/22/2003,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191577,ACG HOSPICE,726 PERSHING HWY,JONESBORO,LA,71251,Jackson,For-Profit,06/10/2003,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191578,"THE CARPENTER HOSPICE OF NORTHWEST LOUISIANA, LLC",364 N MAIN STREET,SIBLEY,LA,71073,Webster,Other,06/26/2003,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191579,PASSAGES HOSPICE,"812 VERSAILLES BLVD, STE A",ALEXANDRIA,LA,71303,Rapides,For-Profit,08/14/2003,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191580,GENTIVA,590 BOARDWALK BLVD STE BO-590,BOSSIER CITY,LA,71111,Bossier,For-Profit,08/28/2003,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191581,"HOSPICE IN HIS CARE, LLC",4301 BLUEBONNET BLVD STE B,BATON ROUGE,LA,70809,East Baton Rouge,For-Profit,09/30/2003,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191589,CONCERNED CARE HOSPICE,"125 NORTH THEARD STREET, SUITE C",COVINGTON,LA,70433,St. Tammany,For-Profit,08/31/2004,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191591,LIFE SOURCE SERVICES OF BATON ROUGE,"11605 SOUTHFORK AVENUE, SUITE A",BATON ROUGE,LA,70816,East Baton Rouge,For-Profit,09/27/2004,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191592,SOUTHERN GRACE HOSPICE,"1442 B, EAST BRIDGE ST.,",BREAUX BRIDGE,LA,70517,St. Martin,For-Profit,10/06/2004,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191593,COMPASSUS-RUSTON,1132 HOMER RD,MINDEN,LA,71055,Webster,For-Profit,10/11/2004,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191594,"HEART OF HOSPICE, LLC",10528 KENTSHIRE CT,BATON ROUGE,LA,70810,East Baton Rouge,For-Profit,10/14/2004,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191597,TRADITIONS HEALTH,303 WEST 21ST AVENUE,COVINGTON,LA,70433,St. Tammany,For-Profit,10/28/2004,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191600,NOTRE DAME HOSPICE OF GREATER BATON ROUGE,"11616 SOUTHFORK DR., SUITE 402",BATON ROUGE,LA,70816,East Baton Rouge,For-Profit,12/20/2004,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191601,"HOSPICE ASSOCIATES OF NEW ORLEANS, LLC",3941 HOUMA BLVD SUITE 1 A,METAIRIE,LA,70006,Jefferson,For-Profit,02/11/2005,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191602,ST JOSEPH HOSPICE OF BAYOU REGION,108 W. MAIN STREET. SUITE C,THIBODAUX,LA,70301,Lafourche,For-Profit,03/11/2005,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191603,ALLEGIANCE HOSPICE & PALLIATIVE CARE,1229 FARMERVILLE HWY,RUSTON,LA,71270,Lincoln,For-Profit,03/09/2005,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191605,ENHABIT HOSPICE OF THE NORTHSHORE,"360 GATEWAY DRIVE, SUITE B",SLIDELL,LA,70461,St. Tammany,For-Profit,03/22/2005,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191606,"N S I HOSPICE, L L C",1009 CAMELIA BLVD,LAFAYETTE,LA,70508,Lafayette,For-Profit,04/15/2005,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191607,AMEDISYS  HOSPICE,"3854 AMERICAN WAY, SUITE C",BATON ROUGE,LA,70816,East Baton Rouge,For-Profit,04/14/2005,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191608,HOSPICE OF LEESVILLE,1615 SOUTH 5TH STREET,LEESVILLE,LA,71446,Vernon,For-Profit,07/06/2005,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191611,HEART OF HOSPICE,1810 MAIN STREET,FRANKLIN,LA,70538,St. Mary,For-Profit,08/26/2005,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191615,"PREMIER HOSPICE, LLC",1513 TEXAS AVENUE,BASTROP,LA,71220,Morehouse,For-Profit,09/13/2005,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191616,BRISTOL HOSPICE-NW LOUISIANA,1634 HWY 531,MINDEN,LA,71055,Webster,For-Profit,01/05/2006,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191617,"HOSPICE T L C, INC",12 MARY MARR ST,WINNSBORO,LA,71295,Franklin,For-Profit,12/19/2005,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191620,"ST JOSEPH HOSPICE & PALLIATIVE CARE OF MONROE, LLC",1890 HUDSON CIRCLE SUITE 3,MONROE,LA,71201,Ouachita,For-Profit,01/24/2006,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191621,HOSPICE SPECIALISTS OF LOUISIANA,"1761 PHYSICIAN'S PARK AVE., STE A",BATON ROUGE,LA,70816,East Baton Rouge,For-Profit,03/09/2006,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191622,"HEART OF HOSPICE, LLC","1816 GLENMAR AVENUE, SUITE 2",MONROE,LA,71201,Ouachita,Other,03/16/2006,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191623,"ST CATHERINE'S HOSPICE, LLC",1704 CANNES DRIVE,LA PLACE,LA,70068,St. John the Baptist,For-Profit,05/25/2006,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191624,COMFORT CARE HOSPICE,23675 CHURCH STREET,PLAQUEMINE,LA,70764,Iberville,For-Profit,06/02/2006,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191625,"HARBOR HOSPICE OF LAKE CHARLES, LP",5210 LAKE STREET,LAKE CHARLES,LA,70605,Calcasieu,For-Profit,06/14/2006,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191626,ELARA CARING,"300 WASHINGTON ST., STE. 303",MONROE,LA,71201,Ouachita,For-Profit,07/07/2006,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191627,BRIGHTON BRIDGE,213-B N FIRST STREET,OBERLIN,LA,70655,Allen,For-Profit,08/02/2006,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191628,COMMUNITY HOSPICE OF LAFAYETTE,5750 JOHNSTON ST STE 204,LAFAYETTE,LA,70503,Lafayette,For-Profit,08/24/2006,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191633,COMMUNITY CARE HOSPICE,2124 WASHINGTON STREET,FRANKLINTON,LA,70438,Washington,For-Profit,12/21/2006,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191635,"ST JOSEPH HOSPICE AND PALLIATIVE CARE NORTHSHORE,",409 W 21ST AVE,COVINGTON,LA,70433,St. Tammany,For-Profit,03/19/2007,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191636,"STILL WATERS HOSPICE, LLC",1405 METRO DRIVE,ALEXANDRIA,LA,71301,Rapides,For-Profit,03/30/2007,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191637,"GUARDIAN HOSPICE CARE,LLC",5212 RUE VERDUN,ALEXANDRIA,LA,71303,Rapides,For-Profit,04/03/2007,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191638,"HEART OF HOSPICE, LLC","901 HUGH WALLIS ROAD SOUTH, SUITE B104",LAFAYETTE,LA,70508,Lafayette,For-Profit,04/12/2007,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191639,"ACG HOSPICE ,",1109 FAGAN DRIVE STE N,HAMMOND,LA,70403,Tangipahoa,Other,04/27/2007,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191640,HOSPICE COMPASSUS - BATON ROUGE,"6700 JEFFERSON HIGHWAY, BUILDING 1",BATON ROUGE,LA,70806,East Baton Rouge,For-Profit,04/26/2007,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191642,HEART OF HOSPICE,"3101 LAKE ST., STE 101",LAKE CHARLES,LA,70601,Calcasieu,For-Profit,10/17/2007,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191643,CARING HANDS HOSPICE,"3602 CYPRESS STREET, STE B,",WEST MONROE,LA,71291,Ouachita,For-Profit,10/26/2007,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191644,SOUTHERN GRACE HOSPICE,510 E. MORRIS AVENUE,HAMMOND,LA,70403,Tangipahoa,For-Profit,10/15/2007,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191645,CARDINAL HOSPICE,"8280 YMCA PLAZA DRIVE , BLDG 3 STE A",BATON ROUGE,LA,70810,East Baton Rouge,For-Profit,10/11/2007,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191646,MY HOSPICE,3510 CAUSEWAY BLVD SUITE 501A,METAIRIE,LA,70002,Jefferson,For-Profit,10/24/2007,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191649,HEART OF HOSPICE,"1700 BELLE CHASSE HWY, BLDG B STE 230",GRETNA,LA,70056,Jefferson,For-Profit,10/31/2007,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191650,HOSPICE COMPASSUS - LAFAYETTE,"1018 HARDING STREET, STE 207",LAFAYETTE,LA,70503,Lafayette,For-Profit,10/26/2007,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191651,"CROSSROADS HOSPICE, LLC",702 FIRST STREET,DELHI,LA,71232,Richland,For-Profit,10/29/2007,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191653,TRADITIONS HEALTH,"217 RUE LOUIS XIV, SUITE 100",LAFAYETTE,LA,70508,Lafayette,Other,11/29/2007,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191654,"ST JOSEPH HOSPICE OF ACADIANA, LLC",923 WEST PINHOOK ROAD,LAFAYETTE,LA,70503,Lafayette,For-Profit,11/29/2007,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191656,"HARBOR HOSPICE OF OAKDALE, LLC",209 N 16TH STREET,OAKDALE,LA,71463,Allen,For-Profit,12/17/2007,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191657,ACG HOSPICE,598 CORPORATE DRIVE,HOUMA,LA,70360,Terrebonne,For-Profit,02/19/2008,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191659,PREMIER HOSPICE,"600 FACTORY OUTLET DRIVE, SUITE 15",ARCADIA,LA,71001,Bienville,For-Profit,03/26/2008,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191660,CLARITY HOSPICE OF BATON ROUGE,"9191 BLUEBONNET BLVD, SUITE B",BATON ROUGE,LA,70810,East Baton Rouge,For-Profit,03/18/2008,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191662,PINNACLE HOSPICE,"5627 S SHERWOOD FOREST BLVD, STE C",BATON ROUGE,LA,70816,East Baton Rouge,Other,04/08/2008,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191663,"HARMONY HOSPICE, LLC","3621 RIDELAKE DRIVE, SUITE 200",METAIRIE,LA,70002,Jefferson,For-Profit,04/04/2008,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191664,SUPERIOR HOSPICE,511 JENKINS STREET SUITE B,MANSFIELD,LA,71052,De Soto,For-Profit,10/01/2008,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191665,"AUDUBON HOSPICE OF LAFAYETTE, INC","221 RUE DE JEAN,",LAFAYETTE,LA,70508,Lafayette,For-Profit,10/08/2009,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191666,BRIDGEWAY HEALTHCARE AND HOSPICE OF ACADIANA,"2014 W PINHOOK DRIVE, SUITE 604",LAFAYETTE,LA,70508,Lafayette,Other,11/23/2009,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191668,EGAN HOSPICE,"121 PARK PLACE, SUITE 2,",COVINGTON,LA,70433,St. Tammany,For-Profit,05/17/2010,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191672,ANVOI HOSPICE,1013 N CAUSEWAY BLVD STE 201B,METAIRIE,LA,70001,Jefferson,For-Profit,02/24/2011,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191673,COMPASSIONATE CARE HOSPICE,"5417 JACKSON STREET, SUITE B",ALEXANDRIA,LA,71303,Rapides,For-Profit,04/07/2011,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191674,AMEDISYS HOSPICE,"4021-B AMBASSADOR CAFFERY PARKWAY, SUITE 101",LAFAYETTE,LA,70503,Lafayette,Other,08/19/2011,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191675,"ASCEND HOSPICE CARE, LLC","4404 OLD STERLINGTON ROAD, SUITE 102",MONROE,LA,71203,Ouachita,For-Profit,12/30/2011,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191676,GULF SOUTH HOSPICE OF NEW ORLEANS,812 HESPER AVENUE,METAIRIE,LA,70005,Jefferson,For-Profit,12/31/2011,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191677,ALL SAINTS HOSPICE,"7406 HIGHWAY 1, SUITE 101",MANSURA,LA,71350,Avoyelles,For-Profit,01/23/2012,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191680,PASSAGES HOSPICE,46 LOUIS PRIMA DRIVE STE A,COVINGTON,LA,70433,St. Tammany,Other,10/25/2012,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191681,INTERIM HEALTHCARE HOSPICE OF EAST LOUISIANA,2637 NORTH CAUSEWAY BLVD,MANDEVILLE,LA,70471,St. Tammany,For-Profit,10/25/2012,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191682,LAMM FAMILY CARE HOSPICE,210 W. MILL STREET,CROWLEY,LA,70526,Acadia,For-Profit,11/09/2012,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191683,"HARBOR HOSPICE OF ALEXANDRIA, LP",1407 PETERMAN DRIVE,ALEXANDRIA,LA,71301,Rapides,For-Profit,05/10/2013,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191684,AUDUBON HOSPICE CARE,9332 INTERLINE AVE,BATON ROUGE,LA,70809,East Baton Rouge,Other,03/11/2013,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191686,NIGHTINGALE HOSPICE,4530 BARKSDALE BLVD SUITES A1& A2,BOSSIER CITY,LA,71112,Bossier,For-Profit,06/19/2013,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191687,"ST JOSEPH HOSPICE OF SOUTHWEST LOUISIANA, LLC",2915 COMMON ST.,LAKE CHARLES,LA,70601,Calcasieu,For-Profit,10/25/2017,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191688,HOSPICE SPECIALISTS OF LOUISIANA,"150 S. 7TH ST, STE C",PONCHATOULA,LA,70454,Tangipahoa,For-Profit,07/02/2018,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191690,"HAND IN HAND HOSPICE CARE, LLC",135 EAST 5TH STREET,NATCHITOCHES,LA,71457,Natchitoches,For-Profit,03/10/2020,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191691,"HAND IN HAND HOSPICE CARE, LLC","1316 SIBLEY RD, STE A",MINDEN,LA,71055,Webster,For-Profit,07/16/2020,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191692,FOUNDATIONS HOSPICE,"29937 SOUTH MONTPELIER ROAD, STE D",ALBANY,LA,70711,Livingston,For-Profit,05/16/2022,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191693,"ALLEGIANCE HEALTHCARE, LLC","1800 BUCKNER ST., SUITE B220",SHREVEPORT,LA,71101,Caddo,For-Profit,12/19/2024,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
191694,APEX HOSPICE,"1402 SOUTH MAGNOLIA ST., SUITE F.",HAMMOND,LA,70403,Tangipahoa,,09/24/2024,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
