ccn,composite_process,care_index_overall,visits_last_days,pain_screening,treatment_preferences,beliefs_values,source,source_date
051786,97.5,9,36.2,98.7,100,98.7,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
051787,97.1,10,42.7,100,100,99.6,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
051788,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
051790,100,10,42.8,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
051791,51.7,4,36.4,93.1,93.1,65.5,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
051792,,6,23.1,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
051793,99.7,10,24.1,99.7,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
051794,74.3,10,3.8,97.3,97.6,78.5,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
051795,92.8,8,29.2,99.3,98.7,98,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
051796,,6,4.4,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
051798,98.9,10,45.6,99.8,100,99.1,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061500,100,10,79.8,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061501,92.8,10,48.8,97.5,99.9,96.7,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061503,100,9,60.9,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061504,99.8,10,50.8,99.8,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061505,95.4,9,94.7,98.9,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061506,97.5,10,61.7,99.6,100,99.6,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061508,95.9,10,56.2,99.6,100,99.8,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061509,92.8,10,73,97.9,99.5,97.9,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061510,97.2,10,78.6,99,99.8,99.6,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061511,61.3,9,16,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061512,89.2,10,51.3,100,99.6,97.3,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061515,92.9,9,52.2,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061516,100,10,57.3,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061517,100,9,57.1,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061522,70.8,10,41.9,87.7,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061523,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061525,100,9,56.4,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061527,91.2,10,76.1,96.3,100,99.8,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061530,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061532,91.1,9,81.6,100,100,98.2,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061537,69.2,9,85.7,88.5,92.3,73.1,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061538,94.7,7,52.9,98.9,100,98.9,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061545,98.5,10,64.9,100,100,99.7,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061552,,9,33.3,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061553,100,10,65,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061554,75.9,10,46.3,92.6,100,83.3,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061558,100,10,74.4,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061560,99.7,10,68.8,99.7,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061561,99.3,10,63.8,100,100,99.8,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061562,77,7,39.1,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061567,98.3,10,71.7,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061568,93.7,10,75.8,99.4,99.6,98.1,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061569,87.8,10,45.5,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061570,89.2,10,69.6,95.7,100,99.1,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061573,99.7,10,46.2,100,100,99.7,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061576,99.6,10,62.9,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061578,91.9,10,73.2,99.8,99.6,96.1,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061582,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061583,96.6,10,71.6,98.8,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061588,99.8,10,76,99.8,100,99.8,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061590,100,10,76,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061591,100,8,57.6,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061592,99.9,10,57.1,100,100,99.9,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061593,95.3,9,54.8,97.9,100,99.5,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061594,98,10,79.7,99.1,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061595,96,9,64.6,100,100,99.2,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061596,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061600,96.8,10,63,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061601,100,9,83,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061602,98.9,10,78.1,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061604,89.8,7,71.6,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061605,99.6,10,53.9,99.6,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061606,95,10,70.2,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061608,98.2,10,87.8,99.4,100,99.4,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061609,,10,54.4,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061611,,9,62.1,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061612,82.4,10,65.7,98.7,98.8,89.2,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061613,97.8,10,76,100,99.2,98.8,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061614,,9,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061615,88.9,9,26.7,100,100,96.3,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061616,100,10,74.7,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061617,,9,35.7,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061618,94.5,10,81.2,99.1,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061619,95.1,10,58.4,98.8,97.6,98.8,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061620,97.1,7,57.6,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061621,85.7,10,62,100,100,97.6,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061622,71.4,9,85,100,100,98,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061623,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061624,88.1,10,67.2,100,100,91.7,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061625,63.8,9,70.6,75.9,96.6,94.8,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061626,98.1,10,90.2,99.4,99.4,99.4,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061627,92.6,,,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061628,90.3,8,,96.8,100,96.8,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061629,98.4,8,,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061630,98.3,9,,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061631,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061632,93.3,10,,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061633,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061634,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061635,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061636,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061637,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061638,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061639,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061640,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061641,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
061642,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
071500,98.3,10,67.9,99.5,100,99.9,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
071501,93,8,70.5,98.4,100,99.2,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
071502,97.7,10,60.9,99.7,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
071504,97.7,10,66.9,100,100,99.2,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
071507,97.6,10,55.6,99.6,99.9,99.3,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
071512,85.2,10,82.7,96.5,99.6,99.1,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
071515,,9,57.9,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
071516,95.9,10,42.3,98.8,100,99.8,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
071517,98.5,10,51.1,99.5,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
071518,98.9,10,65.5,99.3,99.4,99.4,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
071520,98.2,10,71.9,100,99.8,99.8,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
071522,95.4,9,28.9,96.3,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
071523,75.7,10,64.7,99.7,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
071524,99.4,10,72.3,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
071530,82.5,10,69.7,98.8,100,91.3,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
071533,94.6,9,58.7,98,99.3,98.5,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
071536,100,10,68.7,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
071537,100,10,84.4,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
071539,98.6,10,63.7,99.7,100,99.6,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
071541,95.6,9,31.9,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
071542,94.5,10,75.9,99.5,99.7,96.9,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
071543,97.5,10,70.9,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
071544,98.4,10,28.9,99.5,100,99.7,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
071545,93.9,9,69.1,98.7,99.8,99,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
071546,98.2,8,,100,100,98.2,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
071547,100,,,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
071548,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
071549,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
081500,100,10,64.7,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
081502,99.5,10,61.3,99.8,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
081503,99.6,10,66.6,99.9,100,99.9,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
081504,97.8,10,84.7,100,99.7,99.4,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
081506,94.9,10,59.5,100,100,98.5,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
081507,97.7,10,68.7,100,99.6,99.9,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
081508,99.6,10,59.9,99.8,100,99.9,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
081509,100,10,78.1,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
081511,87.2,8,73.6,100,100,97.9,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
081512,98.6,10,44.5,99.5,99.5,99.5,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
081513,,7,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
091501,98.8,7,25.4,100,99.9,99,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
091505,88.4,10,55.6,92.1,98.6,98.1,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
091506,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
091508,100,7,38.6,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
091509,91.5,9,,97.4,100,97.7,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101500,99.7,10,65.1,99.9,100,99.9,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101502,95.9,10,48.3,98.6,100,98.9,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101504,90.7,9,34,97,100,98,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101507,99.8,9,40.7,99.9,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101508,97.1,10,70.3,99.4,99.9,99.2,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101509,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101510,99.9,10,58.6,99.9,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101511,99.6,10,43,99.9,100,99.9,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101512,93.9,10,33.4,98.5,100,98.8,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101513,94.4,10,56.1,96.6,98.2,96.8,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101514,100,10,74.8,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101515,98.4,10,50.1,99.4,99.8,99.7,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101516,99.4,10,54.5,99.9,100,99.9,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101517,99.9,10,51.6,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101518,89.7,10,60.8,98.3,99.5,97.2,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101520,99.9,10,82.9,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101521,95.7,10,61.8,99.1,99.9,98.7,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101522,98.4,10,60.3,100,100,99,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101523,98.6,10,48.4,99.6,99.9,99.5,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101525,99.7,9,66.6,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101527,99.2,9,62.4,99.6,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101528,98.3,10,81.7,99.5,100,99.9,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101529,92.9,10,76.5,98.4,99.9,98.1,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101530,99.4,10,33.5,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101532,97.5,10,48.9,98.6,100,99.9,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101533,100,10,46.1,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101534,99.5,10,64.9,100,100,99.7,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101536,94,10,81.1,95.8,99.8,98.2,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101537,98.6,10,67.2,99.6,100,99.8,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101539,100,10,54.3,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101540,93.7,10,51.7,97.6,100,99.6,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101543,99.8,10,55.2,99.9,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101545,96.5,10,59.4,98.5,99.6,99.3,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101548,95.1,10,58.4,99.3,99.9,99.8,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101549,98.3,10,54,99.5,99.8,99.7,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101550,99.9,10,61.9,99.9,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101551,97.5,10,65.5,99.3,99.8,99.7,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101553,100,10,84,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101554,99.7,10,80.9,99.7,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101555,99.9,9,37.8,99.9,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101556,99.4,10,86.2,100,100,99.7,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101557,95.5,8,56.5,98.7,100,99.1,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101558,99.8,10,62.8,99.8,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101559,96.5,10,59.7,98.9,100,99.5,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101560,93.5,10,32.9,99.4,99.8,96.9,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101561,99.7,10,68.4,99.7,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101562,99.7,10,66.7,99.7,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101563,100,8,73,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101564,100,10,66.2,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101565,100,10,75.2,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101566,100,9,63.2,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101567,97.6,10,71.4,99.3,99.9,99.2,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101568,100,10,85.4,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101570,98.5,10,,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101571,100,9,,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101572,95.2,8,,99.5,100,97.9,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101573,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101574,100,,,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101575,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
101576,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
111500,84.4,10,37.3,98.5,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
111504,98,10,56.8,99.7,100,99.5,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
111505,98.4,10,67.3,99.8,100,99.6,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
111506,100,8,81.7,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
111507,98.4,10,37.9,99.7,100,99.9,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
111508,95,10,57.4,98,100,99.5,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
111511,97.2,10,64.2,98.1,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
111512,84.4,10,75.2,95.5,98.7,98.3,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
111513,97.8,10,79,99.9,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
111514,96.6,10,65.6,99.6,99.8,99.7,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
111515,99.4,10,75.3,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
111516,100,10,47.6,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
111517,96.5,10,53.1,98.7,100,98.7,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
111519,93.6,9,69.4,98.2,99.4,98.8,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
111520,97.8,8,77.3,99.4,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
111521,86.9,10,35.4,99.3,95.1,89.2,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
111524,97.9,10,85,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
111525,96.1,9,64.7,97.5,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
111527,84.5,10,42.3,88.3,99.3,96.8,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
111528,95.1,9,51.3,99.2,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
111530,97.5,9,67.8,97.9,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
111531,98.3,9,60.8,98.8,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
111532,72.1,7,70,95.6,97.1,82.4,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
111533,96.9,10,51.6,99.8,100,99.6,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
111534,86.6,8,79.9,98.9,100,99.6,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
111535,89.8,10,66.6,90.1,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
111537,88.3,9,91.2,95.2,99.3,97.9,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
111542,93.8,9,8.1,99,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
111544,97,10,57.9,98.6,100,99.8,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
111545,96.6,10,78.4,98.6,99.5,98.6,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
111548,99.1,9,78.6,100,100,99.1,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
111550,96.6,9,89.7,99.5,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
111553,95.4,9,45.5,97.2,99.4,99.1,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
111556,96.1,10,43.7,98.5,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
111559,98.9,9,67.9,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
111560,92.9,10,65.6,97.1,100,97.9,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
111569,97.6,10,77.9,100,99.7,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
111571,98.9,8,69.4,100,100,99.6,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
111572,97.1,10,79.4,99.8,99.8,99,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
111574,94.3,10,79.2,99.3,100,99.7,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
